word,translation,language,category,subcategory,part_of_speech,curriculum_level,example_sentence,example_translation,gender,article,base_word,,
si,if,FR,basics_core_language,conjunctions,conjunction,KS3,"S'il pleut, on n'y va pas.","If it rains, we don't go.",,,si,,
quand,when (conjunction),FR,basics_core_language,conjunctions,conjunction,KS3,"Quand j'arrive, je t'appelle.","When I arrive, I'll call you.",,,quand,,
und,and,DE,basics_core_language,conjunctions,conjunction,KS3,Hunde und Katzen.,Dogs and cats.,,,und,,
oder,or,DE,basics_core_language,conjunctions,conjunction,KS3,Tee oder Kaffee.,Tea or coffee.,,,oder,,
aber,but,DE,basics_core_language,conjunctions,conjunction,KS3,"Ich mag es, aber es ist teuer.","I like it, but it's expensive.",,,aber,,
weil,because,DE,basics_core_language,conjunctions,conjunction,KS3,"Ich lerne, weil ich lernen will.",I learn because I want to learn.,,,weil,,
wenn,if / when (conditional/general),DE,basics_core_language,conjunctions,conjunction,KS3,"Wenn es regnet, gehen wir nicht.","If it rains, we don't go.",,,wenn,,
als,when (past specific event),DE,basics_core_language,conjunctions,conjunction,KS3,Als ich ein Kind war...,When I was a child...,,,als,,
la madera,wood,ES,general_concepts,materials,noun,KS3,La mesa es de madera.,The table is made of wood.,f,la,la madera,,
el metal,metal,ES,general_concepts,materials,noun,KS3,La silla es de metal.,The chair is made of metal.,m,el,el metal,,
el plástico,plastic,ES,general_concepts,materials,noun,KS3,La botella es de plástico.,The bottle is made of plastic.,m,el,el plástico,,
el vidrio,glass,ES,general_concepts,materials,noun,KS3,La ventana es de vidrio.,The window is made of glass.,m,el,el vidrio,,
el papel,paper,ES,general_concepts,materials,noun,KS3,Escribo en papel.,I write on paper.,m,el,el papel,,
la tela,fabric,ES,general_concepts,materials,noun,KS3,El vestido es de tela suave.,The dress is made of soft fabric.,f,la,la tela,,
el cuero,leather,ES,general_concepts,materials,noun,KS3,Los zapatos son de cuero.,The shoes are made of leather.,m,el,el cuero,,
le bois,wood,FR,general_concepts,materials,noun,KS3,La table est en bois.,The table is made of wood.,m,le,le bois,,
le métal,metal,FR,general_concepts,materials,noun,KS3,La chaise est en métal.,The chair is made of metal.,m,le,le métal,,
le plastique,plastic,FR,general_concepts,materials,noun,KS3,La bouteille est en plastique.,The bottle is made of plastic.,m,le,le plastique,,
le verre,glass,FR,general_concepts,materials,noun,KS3,La fenêtre est en verre.,The window is made of glass.,m,le,le verre,,
le papier,paper,FR,general_concepts,materials,noun,KS3,J'écris sur du papier.,I write on paper.,m,le,le papier,,
le tissu,fabric,FR,general_concepts,materials,noun,KS3,La robe est en tissu doux.,The dress is made of soft fabric.,m,le,le tissu,,
le cuir,leather,FR,general_concepts,materials,noun,KS3,Les chaussures sont en cuir.,The shoes are made of leather.,m,le,le cuir,,
das Holz,wood,DE,general_concepts,materials,noun,KS3,Der Tisch ist aus Holz.,The table is made of wood.,n,das,das Holz,,
das Metall,metal,DE,general_concepts,materials,noun,KS3,Der Stuhl ist aus Metall.,The chair is made of metal.,n,das,das Metall,,
der Kunststoff,plastic,DE,general_concepts,materials,noun,KS3,Die Flasche ist aus Kunststoff.,The bottle is made of plastic.,m,der,der Kunststoff,,
das Glas,glass,DE,general_concepts,materials,noun,KS3,Das Fenster ist aus Glas.,The window is made of glass.,n,das,das Glas,,
das Papier,paper,DE,general_concepts,materials,noun,KS3,Ich schreibe auf Papier.,I write on paper.,n,das,das Papier,,
der Stoff,fabric,DE,general_concepts,materials,noun,KS3,Das Kleid ist aus weichem Stoff.,The dress is made of soft fabric.,m,der,der Stoff,,
das Leder,leather,DE,general_concepts,materials,noun,KS3,Die Schuhe sind aus Leder.,The shoes are made of leather.,n,das,das Leder,,
primero,first,ES,basics_core_language,time_sequencers,adverb,KS3,"Primero, como.","First, I eat.",,,primero,,
luego,then / next,ES,basics_core_language,time_sequencers,adverb,KS3,"Luego, estudio.","Then, I study.",,,luego,,
después,afterwards,ES,basics_core_language,time_sequencers,adverb,KS3,"Después, voy al cine.","Afterwards, I go to the cinema.",,,después,,
finalmente,finally,ES,basics_core_language,time_sequencers,adverb,KS3,"Finalmente, duermo.","Finally, I sleep.",,,finalmente,,
antes de,before (doing something),ES,basics_core_language,time_sequencers,prepositional phrase,KS3,"Antes de comer, me lavo las manos.","Before eating, I wash my hands.",,,antes de,,
después de,after (doing something),ES,basics_core_language,time_sequencers,prepositional phrase,KS3,"Después de estudiar, veo la tele.","After studying, I watch TV.",,,después de,,
a continuación,next / subsequently,ES,basics_core_language,time_sequencers,adverbial phrase,KS3,"A continuación, la película.","Next, the movie.",,,a continuación,,
en primer lugar,in the first place,ES,basics_core_language,time_sequencers,adverbial phrase,KS3,"En primer lugar, quiero agradecer.","In the first place, I want to thank.",,,en primer lugar,,
en segundo lugar,in the second place,ES,basics_core_language,time_sequencers,adverbial phrase,KS3,"En segundo lugar, es importante.","In the second place, it's important.",,,en segundo lugar,,
ensuite,then / next,FR,basics_core_language,time_sequencers,adverb,KS3,"Ensuite, j'étudie.","Then, I study.",,,ensuite,,
après,after,FR,basics_core_language,time_sequencers,prepositiodverb,KS3,"Après, je vais au cinéma.","Afterwards, I go to the cinema.",,,après,,
finalement,finally,FR,basics_core_language,time_sequencers,adverb,KS3,"Finalement, je dors.","Finally, I sleep.",,,finalement,,
avant de,before (doing something),FR,basics_core_language,time_sequencers,prepositional phrase,KS3,"Avant de manger, je me lave les mains.","Before eating, I wash my hands.",,,avant de,,
après avoir / être,after having / being (compound past),FR,basics_core_language,time_sequencers,compound conjunction,KS3,"Après avoir mangé, je regarde la télé.","After eating, I watch TV.",,,après avoir / être,,
d'abord,first of all,FR,basics_core_language,time_sequencers,adverb,KS3,"D'abord, je veux remercier.","First of all, I want to thank.",,,d'abord,,
puis,then,FR,basics_core_language,time_sequencers,adverb,KS3,"Je mange, puis je lis.","I eat, then I read.",,,puis,,
davor,before that,DE,basics_core_language,time_sequencers,adverb,KS3,"Ich lese, davor esse ich.","I read, before that I eat.",,,davor,,
danach,after that,DE,basics_core_language,time_sequencers,adverb,KS3,"Ich esse, danach lerne ich.","I eat, after that I study.",,,danach,,
zuerst,first / first of all,DE,basics_core_language,time_sequencers,adverb,KS3,Zuerst esse ich.,"First, I eat.",,,zuerst,,
dann,then,DE,basics_core_language,time_sequencers,adverb,KS3,Dann gehe ich ins Kino.,"Then, I go to the cinema.",,,dann,,
zum Schluss,finally / in conclusion,DE,basics_core_language,time_sequencers,adverbial phrase,KS3,Zum Schluss schlafe ich.,"Finally, I sleep.",,,zum Schluss,,
bevor,before (conjunction),DE,basics_core_language,time_sequencers,conjunction,KS3,"Bevor ich esse, wasche ich mir die Hände.","Before I eat, I wash my hands.",,,bevor,,
nachdem,after (conjunction),DE,basics_core_language,time_sequencers,conjunction,KS3,"Nachdem ich gelernt habe, sehe ich fern.","After I have studied, I watch TV.",,,nachdem,,
ciberacoso,cyberbullying,ES,technology_media,online_safety,noun,KS3,El ciberacoso es un problema grave.,Cyberbullying is a serious problem.,m,el,ciberacoso,,
privacidad,privacy,ES,technology_media,online_safety,noun,KS3,Es importante proteger tu privacidad en línea.,It's important to protect your online privacy.,f,la,privacidad,,
contraseña,password,ES,technology_media,online_safety,noun,KS3,No compartas tu contraseña.,Do not share your password.,f,la,contraseña,,
sitio web seguro,safe website,ES,technology_media,online_safety,noun phrase,KS3,Visita solo sitios web seguros.,Only visit safe websites.,m,el,sitio web seguro,,
compartir información,sharing information,ES,technology_media,online_safety,verb phrase,KS3,Ten cuidado al compartir información personal.,Be careful when sharing personal information.,,,compartir información,,
datos personales,personal data / information,ES,technology_media,online_safety,noun phrase,KS3,Protege tus datos personales.,Protect your personal data.,m,los,datos personales,,
acoso en línea,online harassment,ES,technology_media,online_safety,noun phrase,KS3,El acoso en línea es inaceptable.,Online harassment is unacceptable.,m,el,acoso en línea,,
cyberintimidation,cyberbullying,FR,technology_media,online_safety,noun,KS3,La cyberintimidation est un problème grave.,Cyberbullying is a serious problem.,f,la,cyberintimidation,,
confidentialité,privacy,FR,technology_media,online_safety,noun,KS3,Il est important de protéger ta confidentialité en ligne.,It's important to protect your online privacy.,f,la,confidentialité,,
mot de passe,password,FR,technology_media,online_safety,noun,KS3,Ne partage pas ton mot de passe.,Do not share your password.,m,le,mot de passe,,
site web sécurisé,safe website,FR,technology_media,online_safety,noun phrase,KS3,Ne visite que des sites web sécurisés.,Only visit safe websites.,m,le,site web sécurisé,,
partager des informations,sharing information,FR,technology_media,online_safety,verb phrase,KS3,Sois prudent en partageant des informations personnelles.,Be careful when sharing personal information.,,,partager des informations,,
données personnelles,personal data / information,FR,technology_media,online_safety,noun phrase,KS3,Protège tes données personnelles.,Protect your personal data.,f,les,données personnelles,,
harcèlement en ligne,online harassment,FR,technology_media,online_safety,noun phrase,KS3,Le harcèlement en ligne est inacceptable.,Online harassment is unacceptable.,m,le,harcèlement en ligne,,
Cybermobbing,cyberbullying,DE,technology_media,online_safety,noun,KS3,Cybermobbing ist ein ernstes Problem.,Cyberbullying is a serious problem.,n,das,Cybermobbing,,
Privatsphäre,privacy,DE,technology_media,online_safety,noun,KS3,"Es ist wichtig, deine Online-Privatsphäre zu schützen.",It's important to protect your online privacy.,f,die,Privatsphäre,,
Passwort,password,DE,technology_media,online_safety,noun,KS3,Gib dein Passwort nicht weiter.,Do not share your password.,n,das,Passwort,,
sichere Webseite,safe website,DE,technology_media,online_safety,noun phrase,KS3,Besuche nur sichere Webseiten.,Only visit safe websites.,f,die,sichere Webseite,,
Informationen teilen,sharing information,DE,technology_media,online_safety,verb phrase,KS3,Sei vorsichtig beim Teilen persönlicher Informationen.,Be careful when sharing personal information.,,,Informationen teilen,,
persönliche Daten,personal data / information,DE,technology_media,online_safety,noun phrase,KS3,Schütze deine persönlichen Daten.,Protect your personal data.,f,die,persönliche Daten,,
Online-Belästigung,online harassment,DE,technology_media,online_safety,noun phrase,KS3,Online-Belästigung ist inakzeptabel.,Online harassment is unacceptable.,f,die,Online-Belästigung,,
hablar,to speak,ES,basics_core_language,common_regular_verbs,verb,KS3,Hablo español.,I speak ES.,,,hablar,,
comer,to eat,ES,basics_core_language,common_regular_verbs,verb,KS3,Como fruta cada día.,I eat fruit every day.,,,comer,,
vivir,to live,ES,basics_core_language,common_regular_verbs,verb,KS3,Vivo en una casa grande.,I live in a big house.,,,vivir,,
trabajar,to work,ES,basics_core_language,common_regular_verbs,verb,KS3,Trabajo en una oficina.,I work in an office.,,,trabajar,,
estudiar,to study,ES,basics_core_language,common_regular_verbs,verb,KS3,Estudio mucho.,I study a lot.,,,estudiar,,
comprar,to buy,ES,basics_core_language,common_regular_verbs,verb,KS3,Compro pan en la panadería.,I buy bread at the bakery.,,,comprar,,
mirar,to look at,ES,basics_core_language,common_regular_verbs,verb,KS3,Miro la televisión.,I watch television.,,,mirar,,
escuchar,to listen,ES,basics_core_language,common_regular_verbs,verb,KS3,Escucho música.,I listen to music.,,,escuchar,,
aprender,to learn,ES,basics_core_language,common_regular_verbs,verb,KS3,Aprendo español.,I learn ES.,,,aprender,,
comprender,to understand,ES,basics_core_language,common_regular_verbs,verb,KS3,Comprendo la lección.,I understand the lesson.,,,comprender,,
abrir,to open,ES,basics_core_language,common_regular_verbs,verb,KS3,Abro la puerta.,I open the door.,,,abrir,,
escribir,to write,ES,basics_core_language,common_regular_verbs,verb,KS3,Escribo una carta.,I write a letter.,,,escribir,,
recibir,to receive,ES,basics_core_language,common_regular_verbs,verb,KS3,Recibo muchos regalos.,I receive many presents.,,,recibir,,
parler,to speak,FR,basics_core_language,common_regular_verbs,verb,KS3,Je parle français.,I speak FR.,,,parler,,
manger,to eat,FR,basics_core_language,common_regular_verbs,verb,KS3,Je mange des fruits chaque jour.,I eat fruit every day.,,,manger,,
habiter,to live,FR,basics_core_language,common_regular_verbs,verb,KS3,J'habite dans une grande maison.,I live in a big house.,,,habiter,,
travailler,to work,FR,basics_core_language,common_regular_verbs,verb,KS3,Je travaille dans un bureau.,I work in an office.,,,travailler,,
étudier,to study,FR,basics_core_language,common_regular_verbs,verb,KS3,J'étudie beaucoup.,I study a lot.,,,étudier,,
acheter,to buy,FR,basics_core_language,common_regular_verbs,verb,KS3,J'achète du pain à la boulangerie.,I buy bread at the bakery.,,,acheter,,
regarder,to look at,FR,basics_core_language,common_regular_verbs,verb,KS3,Je regarde la télévision.,I watch television.,,,regarder,,
écouter,to listen,FR,basics_core_language,common_regular_verbs,verb,KS3,J'écoute de la musique.,I listen to music.,,,écouter,,
apprendre,to learn,FR,basics_core_language,common_regular_verbs,verb,KS3,J'apprends l'espagnol.,I learn ES.,,,apprendre,,
comprendre,to understand,FR,basics_core_language,common_regular_verbs,verb,KS3,Je comprends la leçon.,I understand the lesson.,,,comprendre,,
ouvrir,to open,FR,basics_core_language,common_regular_verbs,verb,KS3,J'ouvre la porte.,I open the door.,,,ouvrir,,
écrire,to write,FR,basics_core_language,common_regular_verbs,verb,KS3,J'écris une lettre.,I write a letter.,,,écrire,,
recevoir,to receive,FR,basics_core_language,common_regular_verbs,verb,KS3,Je reçois beaucoup de cadeaux.,I receive many presents.,,,recevoir,,
sprechen,to speak,DE,basics_core_language,common_regular_verbs,verb,KS3,Ich spreche Deutsch.,I speak DE.,,,sprechen,,
essen,to eat,DE,basics_core_language,common_regular_verbs,verb,KS3,Ich esse jeden Tag Obst.,I eat fruit every day.,,,essen,,
leben,to live,DE,basics_core_language,common_regular_verbs,verb,KS3,Ich lebe in einem großen Haus.,I live in a big house.,,,leben,,
arbeiten,to work,DE,basics_core_language,common_regular_verbs,verb,KS3,Ich arbeite in einem Büro.,I work in an office.,,,arbeiten,,
studieren,to study,DE,basics_core_language,common_regular_verbs,verb,KS3,Ich studiere viel.,I study a lot.,,,studieren,,
kaufen,to buy,DE,basics_core_language,common_regular_verbs,verb,KS3,Ich kaufe Brot beim Bäcker.,I buy bread at the bakery.,,,kaufen,,
schauen,to look at,DE,basics_core_language,common_regular_verbs,verb,KS3,Ich schaue fern.,I watch TV.,,,schauen,,
hören,to listen,DE,basics_core_language,common_regular_verbs,verb,KS3,Ich höre Musik.,I listen to music.,,,hören,,
lernen,to learn,DE,basics_core_language,common_regular_verbs,verb,KS3,Ich lerne Spanisch.,I learn ES.,,,lernen,,
verstehen,to understand,DE,basics_core_language,common_regular_verbs,verb,KS3,Ich verstehe die Lektion.,I understand the lesson.,,,verstehen,,
